dwell time: 76.71 us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotope intensities below 0 SD were set to 0 during the cleaning process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isotopes examined:,49Ti,51V,52Cr,63Cu,66Zn,75As,80Se,85Rb,88Sr,107Ag,111Cd,133Cs,138Ba,139La,140Ce,141Pr,146Nd,149Sm,153Eu,157Gd,163Dy,165Ho,166Er,169Tm,172Yb,175Lu,205Tl,208Pb,232Th,238U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average background [cts]:,0.393162255,0.643073112,0.465758035,0.097189699,0.128125772,0.079108894,0.000655512,0.132857965,0.534285926,0.003305892,0.000476248,0.02647351,1.618772756,0.13763363,0.149179828,0.02378552,0.014980554,0.002121378,0.002917567,0.004868473,0.002316762,0.001875195,0.001868356,0.000753693,0.001159114,0.000879715,0.001050676,0.020163595,0.006501392,0.000442544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average background [cps]:,5125.306419,8383.171837,6071.672988,1266.975609,1670.261666,1031.272248,8.545329331,1731.951048,6965.010121,43.09596789,6.20841736,345.1115939,21102.49975,1794.207147,1944.724654,310.0706496,195.2881559,27.65451958,38.03371989,63.46594444,30.2015626,24.44524538,24.35609887,9.825218448,15.11033271,11.4680612,13.69672384,262.8548396,84.75285647,5.769052439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD background [cts]:,0.954339355,1.053568054,0.882530895,0.383744385,0.431321785,0.34298759,0.031311289,0.450285766,0.932366223,0.072791654,0.025873752,0.191609413,1.511049886,0.466993973,0.508880886,0.183934905,0.144013098,0.054279675,0.065037298,0.084020521,0.056537457,0.050985134,0.050484747,0.032117701,0.04004055,0.035330112,0.037263429,0.164755862,0.094518052,0.024902763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD background [cps]:,12440.87283,13734.42907,11504.76985,5002.534025,5622.758248,4471.223962,408.1774058,5869.974783,12154.42867,948.9200113,337.2930782,2497.841387,19698.21256,6087.784808,6633.827221,2397.795655,1877.370593,707.5958097,847.8333726,1095.300754,737.0285128,664.6478125,658.1247164,418.6898781,521.9730127,460.5672287,485.7701553,2147.775542,1232.14772,324.6351597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensitivity calibration:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isotope,sensitivity [cps/ppb],intercept [cps],BEC [ppb],R^2,LOD [ppb],LOQ [ppb],MDL [fg],MQL [fg],SDL [nm],SQL [nm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
